,feature_name,varimp
76,roberta-large_and,331
80,roberta-large_but,325
84,roberta-large_although,222
88,roberta-large_yet,194
75,roberta-large_as,161
82,roberta-large_though,124
51,roberta-base_or,116
92,xlm-roberta-large_and,116
98,xlm-roberta-large_or,113
49,roberta-base_when,111
97,xlm-roberta-large_but,111
103,xlm-roberta-large_yet,109
72,xlm-roberta-base_rather,106
64,xlm-roberta-base_instead,102
94,xlm-roberta-large_instead,101
4,distilbert-base-uncased_but,99
39,bert-large-uncased_then,98
71,xlm-roberta-base_nor,98
61,xlm-roberta-base_although,98
85,roberta-large_nor,97
102,xlm-roberta-large_rather,96
29,bert-base-uncased_rather,95
79,roberta-large_or,93
59,roberta-base_still,93
57,roberta-base_yet,92
53,roberta-base_though,92
86,roberta-large_instead,88
45,roberta-base_and,88
77,roberta-large_if,88
10,distilbert-base-uncased_nor,88
13,distilbert-base-uncased_rather,88
63,xlm-roberta-base_as,87
91,xlm-roberta-large_although,86
1,distilbert-base-uncased_if,86
44,bert-large-uncased_rather,83
99,xlm-roberta-large_though,82
90,xlm-roberta-large_when,81
35,bert-large-uncased_or,80
9,distilbert-base-uncased_then,80
87,roberta-large_still,79
74,xlm-roberta-base_yet,79
89,roberta-large_rather,79
62,xlm-roberta-base_and,78
73,xlm-roberta-base_still,77
3,distilbert-base-uncased_and,77
20,bert-base-uncased_while,77
83,roberta-large_then,77
0,distilbert-base-uncased_as,75
68,xlm-roberta-base_or,75
8,distilbert-base-uncased_or,74
100,xlm-roberta-large_nor,73
14,distilbert-base-uncased_still,73
30,bert-large-uncased_and,72
95,xlm-roberta-large_if,70
2,distilbert-base-uncased_when,70
24,bert-base-uncased_then,70
52,roberta-base_although,69
56,roberta-base_instead,69
12,distilbert-base-uncased_yet,68
27,bert-base-uncased_yet,68
58,roberta-base_rather,68
101,xlm-roberta-large_then,67
7,distilbert-base-uncased_while,67
11,distilbert-base-uncased_instead,66
47,roberta-base_if,66
25,bert-base-uncased_instead,66
26,bert-base-uncased_nor,66
70,xlm-roberta-base_then,66
93,xlm-roberta-large_as,65
40,bert-large-uncased_instead,65
42,bert-large-uncased_yet,65
41,bert-large-uncased_nor,64
78,roberta-large_when,64
81,roberta-large_while,64
46,roberta-base_as,64
67,xlm-roberta-base_if,64
34,bert-large-uncased_but,63
66,xlm-roberta-base_but,62
48,roberta-base_but,61
55,roberta-base_nor,60
6,distilbert-base-uncased_although,60
104,xlm-roberta-large_still,60
15,bert-base-uncased_and,60
31,bert-large-uncased_as,57
65,xlm-roberta-base_while,57
54,roberta-base_then,57
33,bert-large-uncased_when,56
60,xlm-roberta-base_when,56
37,bert-large-uncased_although,56
28,bert-base-uncased_still,55
21,bert-base-uncased_or,54
5,distilbert-base-uncased_though,53
36,bert-large-uncased_while,52
19,bert-base-uncased_but,52
96,xlm-roberta-large_while,52
50,roberta-base_while,47
17,bert-base-uncased_if,46
38,bert-large-uncased_though,45
43,bert-large-uncased_still,44
16,bert-base-uncased_as,44
