,feature_name,varimp
116,roberta-large_although,44
115,roberta-large_but,40
136,xlm-roberta-large_but,34
107,roberta-large_since,32
111,roberta-large_and,23
109,roberta-large_when,22
123,roberta-large_yet,20
53,bert-large-uncased_or,17
117,roberta-large_though,17
88,xlm-roberta-base_as,17
105,roberta-large_because,15
118,roberta-large_with,15
110,roberta-large_given,14
145,xlm-roberta-large_yet,14
12,distilbert-base-uncased_given,13
129,xlm-roberta-large_although,13
6,distilbert-base-uncased_when,13
18,distilbert-base-uncased_yet,13
103,xlm-roberta-base_still,13
119,roberta-large_nor,12
31,bert-base-uncased_for,11
35,bert-base-uncased_given,11
66,roberta-base_if,11
73,roberta-base_though,11
47,bert-large-uncased_when,11
121,roberta-large_instead,11
142,xlm-roberta-large_nor,11
60,bert-large-uncased_yet,10
13,distilbert-base-uncased_then,10
135,xlm-roberta-large_if,10
69,roberta-base_for,10
76,roberta-base_with,9
16,distilbert-base-uncased_nor,9
87,xlm-roberta-base_although,9
25,bert-base-uncased_when,9
68,roberta-base_and,9
57,bert-large-uncased_then,8
81,roberta-base_yet,8
80,roberta-base_so,8
138,xlm-roberta-large_though,8
128,xlm-roberta-large_when,8
106,roberta-large_as,8
114,roberta-large_or,8
112,roberta-large_while,8
0,distilbert-base-uncased_because,8
44,bert-large-uncased_since,8
34,bert-base-uncased_with,8
4,distilbert-base-uncased_and,8
9,distilbert-base-uncased_though,8
45,bert-large-uncased_if,7
38,bert-base-uncased_so,7
79,roberta-base_instead,7
98,xlm-roberta-base_then,7
30,bert-base-uncased_although,7
104,xlm-roberta-base_yet,7
24,bert-base-uncased_as,7
11,distilbert-base-uncased_or,7
75,roberta-base_or,7
132,xlm-roberta-large_while,7
5,distilbert-base-uncased_but,7
137,xlm-roberta-large_or,7
52,bert-large-uncased_with,7
144,xlm-roberta-large_rather,7
2,distilbert-base-uncased_since,7
48,bert-large-uncased_for,7
113,roberta-large_for,6
93,xlm-roberta-base_but,6
83,roberta-base_rather,6
127,xlm-roberta-large_since,6
96,xlm-roberta-base_though,6
54,bert-large-uncased_given,6
39,bert-base-uncased_yet,6
40,bert-base-uncased_still,6
91,xlm-roberta-base_while,5
126,xlm-roberta-large_because,5
59,bert-large-uncased_so,5
64,roberta-base_as,5
56,bert-large-uncased_instead,5
46,bert-large-uncased_and,5
99,xlm-roberta-base_nor,5
89,xlm-roberta-base_and,5
100,xlm-roberta-base_given,5
124,roberta-large_rather,5
10,distilbert-base-uncased_for,5
122,roberta-large_so,5
120,roberta-large_then,5
21,bert-base-uncased_because,5
55,bert-large-uncased_though,5
22,bert-base-uncased_if,5
78,roberta-base_nor,5
84,xlm-roberta-base_because,5
65,roberta-base_since,5
1,distilbert-base-uncased_if,5
37,bert-base-uncased_nor,5
134,xlm-roberta-large_for,4
23,bert-base-uncased_and,4
49,bert-large-uncased_but,4
71,roberta-base_given,4
143,xlm-roberta-large_so,4
101,xlm-roberta-base_so,4
