,feature_name,varimp
113,roberta-large_but,299
107,roberta-large_and,294
118,roberta-large_although,204
124,roberta-large_yet,188
120,roberta-large_with,136
136,xlm-roberta-large_but,111
122,roberta-large_so,107
130,xlm-roberta-large_and,103
116,roberta-large_though,100
145,xlm-roberta-large_yet,96
72,roberta-base_or,94
121,roberta-large_instead,89
108,roberta-large_for,88
115,roberta-large_given,87
64,roberta-base_and,82
19,distilbert-base-uncased_rather,79
17,distilbert-base-uncased_so,76
129,xlm-roberta-large_although,75
41,bert-base-uncased_rather,74
87,xlm-roberta-base_although,74
75,roberta-base_though,73
144,xlm-roberta-large_rather,72
137,xlm-roberta-large_or,72
106,roberta-large_as,70
138,xlm-roberta-large_though,69
119,roberta-large_nor,69
102,xlm-roberta-base_rather,68
132,xlm-roberta-large_instead,68
80,roberta-base_so,68
74,roberta-base_although,67
109,roberta-large_if,66
70,roberta-base_when,66
38,bert-base-uncased_so,65
12,distilbert-base-uncased_given,64
128,xlm-roberta-large_when,64
82,roberta-base_rather,64
48,bert-large-uncased_but,64
88,xlm-roberta-base_and,63
16,distilbert-base-uncased_instead,63
111,roberta-large_since,63
98,xlm-roberta-base_nor,63
133,xlm-roberta-large_if,63
90,xlm-roberta-base_instead,62
112,roberta-large_or,62
49,bert-large-uncased_or,61
11,distilbert-base-uncased_or,60
95,xlm-roberta-base_for,58
94,xlm-roberta-base_or,58
123,roberta-large_still,58
105,roberta-large_because,58
104,xlm-roberta-base_yet,58
15,distilbert-base-uncased_with,58
60,bert-large-uncased_yet,58
67,roberta-base_since,57
85,xlm-roberta-base_since,57
96,xlm-roberta-base_though,57
91,xlm-roberta-base_while,57
2,distilbert-base-uncased_if,57
62,bert-large-uncased_rather,56
146,xlm-roberta-large_still,55
6,distilbert-base-uncased_but,55
141,xlm-roberta-large_nor,55
52,bert-large-uncased_although,55
63,roberta-base_because,54
29,bert-base-uncased_while,54
89,xlm-roberta-base_as,54
84,xlm-roberta-base_because,53
78,roberta-base_nor,53
10,distilbert-base-uncased_while,53
4,distilbert-base-uncased_and,53
83,roberta-base_still,52
33,bert-base-uncased_then,50
65,roberta-base_as,50
143,xlm-roberta-large_so,50
79,roberta-base_instead,50
14,distilbert-base-uncased_nor,49
40,bert-base-uncased_still,49
21,bert-base-uncased_and,49
58,bert-large-uncased_nor,48
140,xlm-roberta-large_given,48
55,bert-large-uncased_with,48
37,bert-base-uncased_nor,47
97,xlm-roberta-base_then,47
54,bert-large-uncased_then,47
30,bert-base-uncased_or,47
99,xlm-roberta-base_with,46
28,bert-base-uncased_for,46
142,xlm-roberta-large_then,45
110,roberta-large_when,45
127,xlm-roberta-large_since,45
125,roberta-large_rather,45
3,distilbert-base-uncased_when,45
117,roberta-large_then,44
73,roberta-base_given,44
59,bert-large-uncased_so,44
42,bert-large-uncased_and,44
18,distilbert-base-uncased_yet,43
20,distilbert-base-uncased_still,43
8,distilbert-base-uncased_although,43
68,roberta-base_but,43
